record_id,timestamp,equipment_id,plant_zone,process_type,material_batch_id,ambient_temperature_c,ambient_humidity_pct,dsc_heat_flow_mw,sample_temperature_c,reference_temperature_c,thermal_gradient_c,heating_rate_c_min,cooling_rate_c_min,infrared_mean_temp_c,infrared_max_temp_c,thermal_hotspot_area_pct,phase_transition_onset_c,phase_transition_peak_c,transition_enthalpy_j_g,heat_dissipation_rate_w,sensor_voltage_v,sensor_current_ma,vibration_level_mm_s,mqtt_latency_ms,packet_loss_pct,edge_cpu_usage_pct,rolling_noise_index,anomaly_score,remaining_useful_life_h,fault_type,fault_state,maintenance_required
1,2025-01-01 00:00:00,CAL-021,Reactor-Line-A,chemical_processing,BATCH-5506,29.88,58.23,96.74,112.59,111.02,1.57,8.58,6.02,118.97,120.59,2.2,101.31,110.83,64.37,72.69,3.33,39.18,1.037,49.77,0.74,48.95,0.1,0.06,890.4,none,Normal,0
2,2025-01-01 00:05:00,CAL-012,Materials-QC,material_characterization,BATCH-1711,29.88,59.93,113.45,121.86,118.51,3.35,12.32,4.97,131.93,163.37,30.11,71.43,93.23,74.68,45.46,3.272,66.12,2.448,64.44,5.2,56.18,0.207,0.548,558.9,sensor_drift,Warning,1
3,2025-01-01 00:10:00,CAL-018,Thermal-Manufacturing,energy_storage_testing,BATCH-3677,30.1,45.13,97.76,79.9,76.32,3.58,8.2,6.55,77.67,86.8,7.71,60.8,71.76,79.92,62.83,3.23,48.14,0.852,39.33,2.29,55.01,0.018,0.151,813.8,none,Normal,0
4,2025-01-01 00:15:00,CAL-012,Reactor-Line-B,energy_storage_testing,BATCH-9348,28.89,54.78,137.04,81.51,76.99,4.52,8.81,4.76,82.55,94.15,13.13,62.17,81.13,83.89,77.45,3.318,53.67,0.771,49.4,2.85,50.29,0.179,0.225,633.3,none,Normal,0
5,2025-01-01 00:20:00,CAL-017,Reactor-Line-B,thermal_manufacturing,BATCH-2743,30.3,64.48,137.65,182.89,178.74,4.15,12.19,4.65,188.78,227.0,13.91,165.79,180.59,169.59,62.6,3.27,60.15,2.189,67.76,3.46,43.11,0.304,0.47,509.5,minor_phase_transition_shift,Warning,1
6,2025-01-01 00:25:00,CAL-028,Materials-QC,polymer_curing,BATCH-4470,29.27,55.53,173.68,169.27,161.64,7.63,18.83,2.58,178.68,223.53,63.59,128.05,150.83,160.19,36.06,3.198,81.5,4.625,96.87,7.76,72.7,0.536,0.805,53.0,phase_transition_irregularity,Critical,1
7,2025-01-01 00:30:00,CAL-029,Materials-QC,thermal_manufacturing,BATCH-8744,26.65,53.1,77.6,182.41,180.72,1.69,11.32,6.95,187.0,198.65,7.78,162.12,170.49,99.35,70.33,3.27,49.65,1.443,58.12,1.83,44.72,0.182,0.121,938.4,none,Normal,0
8,2025-01-01 00:35:00,CAL-018,Reactor-Line-A,chemical_processing,BATCH-4872,29.2,52.99,110.69,134.32,130.23,4.09,10.86,5.49,138.19,144.65,0,106.38,123.95,88.05,65.43,3.268,45.97,2.364,37.21,0.89,47.06,0.121,0.138,794.6,none,Normal,0
9,2025-01-01 00:40:00,CAL-028,Materials-QC,energy_storage_testing,BATCH-1931,29.86,56.97,208.39,114.59,108.87,5.72,14.31,3.61,121.9,168.57,44.24,58.89,78.43,139.3,58.2,3.219,76.5,4.416,98.59,2.81,71.91,0.388,0.7,195.7,phase_transition_irregularity,Critical,1
10,2025-01-01 00:45:00,CAL-004,Reactor-Line-A,thermal_manufacturing,BATCH-4492,25.26,48.56,101.79,184.01,181.89,2.12,6.31,6.35,183.54,207.38,6.72,158.79,169.38,57.76,74.32,3.29,49.9,0.614,53.45,0,47.03,0.137,0.18,1006.6,none,Normal,0
11,2025-01-01 00:50:00,CAL-022,Thermal-Manufacturing,material_characterization,BATCH-9280,28.34,49.27,151.41,101.06,96.84,4.22,10.78,4.68,103.46,120.47,6.04,78.25,93.69,146.53,70.17,3.304,51.04,2.134,45.62,2.71,54.86,0.148,0.351,770.9,none,Normal,0
12,2025-01-01 00:55:00,CAL-029,Battery-Lab,energy_storage_testing,BATCH-5088,24.33,66.66,134.8,92.21,86.4,5.81,14.1,6.21,99.11,130.42,31.91,65.8,83.71,87.6,48.17,3.213,61.79,2.863,65.9,2.44,66.19,0.281,0.52,766.4,sensor_drift,Warning,1
13,2025-01-01 01:00:00,CAL-012,Battery-Lab,energy_storage_testing,BATCH-4652,25.19,64.56,84.88,83.42,81.45,1.97,7.17,7.06,85.44,97.98,4.74,59.2,71.55,95.36,68.15,3.319,51.24,0.848,33.46,0,38.1,0.045,0.155,921.5,none,Normal,0
14,2025-01-01 01:05:00,CAL-001,Materials-QC,thermal_manufacturing,BATCH-4228,30.36,46.49,110.4,175.47,174.59,0.88,7.92,5.11,176.52,190.19,1.03,163.57,178.01,90.87,83.8,3.281,52.59,0.451,35.5,2.05,49.31,0.089,0.072,1000.1,none,Normal,0
15,2025-01-01 01:10:00,CAL-021,Battery-Lab,polymer_curing,BATCH-8238,22.74,53.4,107.6,144.17,142.74,1.43,9.74,5.2,144.67,158.75,0,121.39,132.27,82.46,71.46,3.295,54.25,1.008,39.34,0,50.02,0.139,0.168,863.9,none,Normal,0
16,2025-01-01 01:15:00,CAL-021,Thermal-Manufacturing,chemical_processing,BATCH-2746,28.23,58.89,117.17,139.79,134.36,5.43,12.76,3.42,148.94,169.79,38.01,102.39,115.45,83.36,40.19,3.259,47.63,1.923,64.92,1.89,55.34,0.289,0.382,487.4,sensor_drift,Warning,1
17,2025-01-01 01:20:00,CAL-017,Polymer-Unit,energy_storage_testing,BATCH-5499,27.83,58.92,122.33,87.29,84.35,2.94,11.58,5.76,92.71,103.03,15.63,57.23,72.03,106.88,56.11,3.288,38.75,2.528,55.51,0.88,45.32,0.217,0.24,642.1,none,Normal,0
18,2025-01-01 01:25:00,CAL-027,Polymer-Unit,thermal_manufacturing,BATCH-9947,31.75,56.77,171.63,220.3,212.76,7.54,13.63,3.15,229.15,269.42,43.26,168.86,191.53,141.76,45.66,3.233,67.38,3.037,79.83,4.86,60.48,0.378,0.634,532.6,sensor_drift,Warning,1
19,2025-01-01 01:30:00,CAL-013,Battery-Lab,polymer_curing,BATCH-5133,30.4,53.87,123.37,151.64,148.43,3.21,10.38,5.18,156.89,186.89,25.5,128.04,149.03,101.56,51.14,3.236,53.66,3.115,83.77,3.74,54.99,0.349,0.397,537.8,incipient_overheating,Warning,1
20,2025-01-01 01:35:00,CAL-010,Materials-QC,polymer_curing,BATCH-7498,29.56,67.05,149.68,185.65,177.47,8.18,19.26,5.73,194.23,218.57,25.54,127.76,146.04,145.13,53.24,3.18,85.59,5.061,78.23,3.93,66.03,0.334,0.598,1,phase_transition_irregularity,Critical,1
21,2025-01-01 01:40:00,CAL-009,Materials-QC,thermal_manufacturing,BATCH-8921,26.19,48.11,116.03,191.71,184.91,6.8,12.42,5.26,191.79,205.35,8.65,160.83,175.9,75.95,63.25,3.274,59.27,0.845,43.64,0.96,47.36,0.2,0.256,654.8,none,Normal,0
22,2025-01-01 01:45:00,CAL-008,Thermal-Manufacturing,polymer_curing,BATCH-9041,28.5,47.81,104.84,147.12,145.2,1.92,6.5,6.92,143.54,165.87,0,121.16,130.76,79.94,73.56,3.347,41.24,1.205,52.95,0.12,46.89,0.174,0.146,1067.6,none,Normal,0
23,2025-01-01 01:50:00,CAL-025,Materials-QC,thermal_manufacturing,BATCH-5636,30.03,62.57,191.26,238.29,229.7,8.59,22.3,1.7,246.35,305.31,67.74,161.61,185.34,123.11,31.42,3.187,82.43,6.706,111.92,4.74,77.26,0.459,0.856,50.3,heat_dissipation_failure,Critical,1
